Route_ID,User_ID,Sequence,Total_Duration,Total_Cost,Weather,Traffic_Level,Crowd_Density,Event_Impact,Optimal_Route_Preference,Satisfaction_Score,Age,Gender,Nationality,Travel_Companions,Budget_Category,Preferred_Theme,Preferred_Transport,Number_of_Stops,Traffic_Level_Score,Crowd_Density_Score,Budget_Level_Score,Total_Duration_Normalized,Total_Cost_Normalized,Age_Normalized,Number_of_Stops_Normalized
19,121,31->37->11,417,8897,Rainy,High,High,Holiday,11->31->37,2,28,Other,Germany,Family,Medium,Adventure,Car,3,2,2,1,0.61875,0.8845221789063323,0.1923076923076924,0.0
20,182,23->20->44->16->13,261,2009,Rainy,High,High,Holiday,13->16->20->23->44,2,69,Female,China,Family,Medium,Food,Train,5,2,2,1,0.29374999999999996,0.15878200400379305,0.980769230769231,0.5
21,51,15->11->47->1->2->34->14,342,5285,Sunny,High,Low,None,1->2->11->14->15->34->47,2,38,Female,China,Solo,Medium,Adventure,Taxi,7,2,0,1,0.4625,0.503951111579391,0.3846153846153847,1.0
22,117,48->16->31->10,369,6344,Snowy,Low,Medium,Holiday,10->16->31->48,4,26,Female,USA,Friends,Low,Food,Walk,4,0,1,0,0.51875,0.6155305025813929,0.15384615384615385,0.25
23,182,46->35->21,246,8719,Cloudy,High,Low,Festival,21->35->46,5,69,Female,China,Family,Medium,Food,Train,3,2,0,1,0.26249999999999996,0.8657675692761564,0.980769230769231,0.0
24,10,6->5->24,487,4526,Rainy,High,High,None,5->6->24,1,46,Male,India,Family,High,Food,Train,3,2,2,2,0.7645833333333334,0.4239806132125171,0.5384615384615385,0.0
25,195,5->9->22,283,9824,Cloudy,Medium,Low,Holiday,5->9->22,5,19,Other,France,Family,Medium,Cultural,Train,3,1,0,1,0.33958333333333335,0.982193657148878,0.019230769230769273,0.0
26,176,3->15->30->35,534,7467,Snowy,High,Low,None,3->15->30->35,1,31,Other,China,Group,High,Relaxation,Taxi,4,2,0,2,0.8625,0.7338531240122221,0.25,0.25
27,111,41->16->3->23->36->6,366,7482,Rainy,High,Medium,None,3->6->16->23->36->41,5,45,Female,Japan,Solo,Medium,Shopping,Car,6,2,1,1,0.5125,0.7354335686439785,0.5192307692307693,0.75
28,95,21->23->8,559,9510,Cloudy,High,Medium,Holiday,8->21->23,1,42,Male,Japan,Family,Medium,Food,Bike,3,2,1,1,0.9145833333333333,0.9491096828574438,0.46153846153846156,0.0
29,128,49->11->28->22->50,420,9269,Snowy,Medium,Medium,None,11->22->28->49->50,3,66,Male,UK,Family,Medium,Nature,Train,5,1,1,1,0.625,0.923717205773891,0.9230769230769232,0.5
30,195,11->41->20,548,4508,Sunny,High,Low,None,11->20->41,3,19,Other,France,Family,Medium,Cultural,Train,3,2,0,1,0.8916666666666666,0.4220840796544094,0.019230769230769273,0.0
31,154,9->13->43,396,3694,Cloudy,High,Low,Holiday,9->13->43,5,42,Other,France,Solo,Medium,Adventure,Bus,3,2,0,1,0.575,0.33631861763776205,0.46153846153846156,0.0
32,101,36->4->17->26->40->12->2,540,6292,Rainy,High,Low,None,2->4->12->17->26->36->40,5,44,Male,France,Group,High,Shopping,Walk,7,2,0,2,0.875,0.6100516278579707,0.5000000000000001,1.0
33,33,30->48->43->17->38,383,8670,Rainy,Medium,Medium,None,17->30->38->43->48,3,26,Male,USA,Friends,High,Food,Walk,5,1,1,2,0.5479166666666666,0.8606047834790854,0.15384615384615385,0.5
34,87,33->25->11->8->23->30,531,2713,Rainy,Low,High,Festival,8->11->23->25->30->33,1,31,Female,Japan,Friends,Low,Food,Bus,6,0,2,0,0.85625,0.23295753872089345,0.25,0.75
35,163,1->12->18->50->4,419,8074,Sunny,Medium,Low,Holiday,1->4->12->18->50,4,59,Female,India,Friends,Low,Food,Car,5,1,0,0,0.6229166666666667,0.7978084501106312,0.7884615384615384,0.5
36,144,46->12->8,428,5393,Sunny,High,High,Holiday,8->12->46,3,43,Male,Japan,Solo,High,Shopping,Walk,3,2,2,2,0.6416666666666666,0.5153303129280371,0.48076923076923084,0.0
37,159,40->5->37->49->21->34,223,1833,Rainy,Low,Medium,None,5->21->34->37->40->49,5,44,Female,UK,Group,Medium,Cultural,Bike,6,0,1,1,0.21458333333333335,0.14023812032451796,0.5000000000000001,0.75
38,143,23->13->17->19->15->25,600,2014,Cloudy,Low,Low,None,13->15->17->19->23->25,2,49,Male,France,Group,Medium,Nature,Car,6,0,0,1,1.0,0.1593088188810452,0.5961538461538463,0.75
39,157,34->41->40->42->23,392,2282,Rainy,Low,Low,None,23->34->40->41->42,1,52,Other,Japan,Group,Low,Food,Bus,5,0,0,0,0.5666666666666667,0.18754609630175956,0.6538461538461539,0.5
40,31,28->43->8->47->34->3,412,9373,Rainy,Low,Medium,Festival,3->8->28->34->43->47,1,61,Male,UK,Group,Low,Nature,Train,6,0,1,0,0.6083333333333333,0.9346749552207354,0.826923076923077,0.75
41,167,18->26->29->28->14->19,515,628,Snowy,Low,High,Festival,14->18->19->26->28->29,2,18,Other,China,Friends,Low,Nature,Car,6,0,2,0,0.8229166666666667,0.013275734906753767,0.0,0.75
42,78,44->45->18->23->21,342,572,Cloudy,Low,High,None,18->21->23->44->45,1,68,Male,Germany,Group,Medium,Relaxation,Train,5,0,2,1,0.4625,0.007375408281529869,0.9615384615384616,0.5
43,89,25->29->23,404,3962,Cloudy,Medium,Medium,None,23->25->29,4,45,Male,USA,Group,Medium,Shopping,Train,3,1,1,1,0.5916666666666667,0.3645558950584764,0.5192307692307693,0.0
44,17,33->2->10->21->5->11->44,289,7026,Rainy,High,Medium,None,2->5->10->11->21->33->44,1,57,Male,UK,Group,Medium,Shopping,Taxi,7,2,1,1,0.3520833333333333,0.6873880518385839,0.7500000000000001,1.0
45,39,2->10->47->8->21,258,3241,Snowy,Low,Low,Holiday,2->8->10->21->47,1,51,Female,India,Group,Low,Nature,Car,5,0,0,0,0.2875,0.2885891897587187,0.6346153846153847,0.5
46,170,18->45->17->34->29->50->37,231,7538,Rainy,High,Low,Holiday,17->18->29->34->37->45->50,2,31,Other,UK,Solo,Low,Adventure,Taxi,7,2,0,0,0.23125,0.7413338952692023,0.25,1.0
47,190,25->1->2->12->9,562,8488,Sunny,Low,Medium,Holiday,1->2->9->12->25,5,35,Other,Germany,Group,High,Nature,Bus,5,0,1,2,0.9208333333333334,0.8414287219471078,0.326923076923077,0.5
48,59,1->15->13->39->16->40->14,152,2061,Snowy,High,Low,Holiday,1->13->14->15->16->39->40,1,53,Male,France,Friends,Low,Shopping,Car,7,2,0,0,0.06666666666666665,0.16426087872721526,0.6730769230769232,1.0
49,69,19->41->10->2->21,483,3578,Snowy,Low,Low,Festival,2->10->19->21->41,4,56,Other,Japan,Family,Low,Nature,Car,5,0,0,0,0.7562500000000001,0.3240965124855125,0.730769230769231,0.5
50,70,8->12->49,497,8110,Cloudy,Medium,High,None,8->12->49,5,54,Other,USA,Friends,Medium,Shopping,Bike,3,1,2,1,0.7854166666666667,0.8016015172268465,0.6923076923076924,0.0
51,179,14->41->42->33->2,495,3052,Sunny,Low,Medium,None,2->14->33->41->42,5,59,Male,Germany,Solo,Medium,Food,Bike,5,0,1,1,0.78125,0.2686755873985881,0.7884615384615384,0.5
52,110,31->22->49->37->36->38->13,184,8119,Sunny,Medium,Low,None,13->22->31->36->37->38->49,4,45,Other,Germany,Friends,Low,Food,Car,7,1,0,0,0.1333333333333333,0.8025497840059003,0.5192307692307693,1.0
53,170,42->29->46->26->28,564,1067,Rainy,High,Medium,Holiday,26->28->29->42->46,1,31,Other,UK,Solo,Low,Adventure,Taxi,5,2,1,0,0.925,0.0595300811294911,0.25,0.5
54,51,47->15->46,290,2446,Cloudy,Medium,High,Holiday,15->46->47,4,38,Female,China,Solo,Medium,Adventure,Taxi,3,1,2,1,0.35416666666666663,0.20482562427562953,0.3846153846153847,0.0
55,197,30->13->33->24,410,3565,Cloudy,Low,High,Festival,13->24->30->33,5,23,Male,India,Group,High,Food,Walk,4,0,2,2,0.6041666666666666,0.3227267938046571,0.0961538461538462,0.25
56,50,33->12->8->45->9->27->7,559,6052,Sunny,Medium,High,None,7->8->9->12->27->33->45,2,66,Male,USA,Solo,High,Food,Train,7,1,2,2,0.9145833333333333,0.5847645137498683,0.9230769230769232,1.0
57,5,40->44->19->28->3->29,133,8002,Sunny,High,Medium,Holiday,3->19->28->29->40->44,2,65,Other,Japan,Solo,Low,Cultural,Train,6,2,1,0,0.027083333333333348,0.7902223158782004,0.9038461538461539,0.75
58,180,49->12->27->11,375,1978,Snowy,Medium,High,Holiday,11->12->27->49,2,38,Female,France,Solo,Low,Relaxation,Train,4,1,2,0,0.53125,0.15551575176482982,0.3846153846153847,0.25
59,4,37->15->7->18->11->2->35,525,4523,Sunny,High,Low,Festival,2->7->11->15->18->35->37,3,31,Female,Germany,Family,Medium,Shopping,Car,7,2,0,1,0.84375,0.42366452428616586,0.25,1.0
60,42,47->25->21->10->42->17,206,1455,Sunny,Low,Medium,Holiday,10->17->21->25->42->47,5,23,Female,UK,Family,Medium,Adventure,Bus,6,0,1,1,0.17916666666666664,0.10041091560425666,0.0961538461538462,0.75
61,156,20->43->48->7->26,386,6379,Snowy,Low,Low,Holiday,7->20->26->43->48,4,34,Other,India,Group,Medium,Nature,Bus,5,0,0,1,0.5541666666666667,0.6192182067221579,0.3076923076923077,0.5
62,12,1->20->47->32->8->41->46,598,6051,Cloudy,Low,Medium,Holiday,1->8->20->32->41->46->47,5,47,Female,UK,Solo,High,Cultural,Train,7,0,1,2,0.9958333333333333,0.5846591507744179,0.5576923076923077,1.0
63,114,14->41->39->47->17,299,5406,Rainy,Medium,Medium,Festival,14->17->39->41->47,4,19,Female,China,Family,High,Cultural,Taxi,5,1,1,2,0.3729166666666667,0.5167000316088927,0.019230769230769273,0.5
64,104,47->23->13,453,3096,Rainy,Low,High,Holiday,13->23->47,5,51,Male,India,Group,Medium,Shopping,Bus,3,0,2,1,0.69375,0.2733115583184069,0.6346153846153847,0.0
65,19,45->32->10,379,3070,Snowy,Medium,Medium,None,10->32->45,3,32,Male,UK,Family,High,Nature,Train,3,1,1,2,0.5395833333333333,0.2705721209566958,0.2692307692307693,0.0
66,146,5->40->4->15->17->2,480,1247,Sunny,Low,Low,Holiday,2->4->5->15->17->40,4,21,Female,USA,Solo,Medium,Food,Bus,6,0,0,1,0.75,0.0784954167105679,0.05769230769230771,0.75
67,132,32->22->35->20->1,478,6925,Snowy,Medium,Medium,None,1->20->22->32->35,1,29,Female,Japan,Family,Medium,Relaxation,Train,5,1,1,1,0.7458333333333333,0.6767463913180908,0.21153846153846156,0.5
68,79,5->33->30,123,1583,Rainy,Low,Low,Festival,5->30->33,3,20,Male,France,Friends,Low,Adventure,Taxi,3,0,0,0,0.006249999999999978,0.11389737646191128,0.03846153846153849,0.0
69,192,29->21->47,352,8258,Rainy,High,High,None,21->29->47,4,47,Female,India,Family,Medium,Shopping,Car,3,2,2,1,0.4833333333333333,0.8171952375935096,0.5576923076923077,0.0
70,16,6->13->15->22,258,5285,Sunny,Low,High,Festival,6->13->15->22,2,32,Male,USA,Friends,Low,Relaxation,Walk,4,0,2,0,0.2875,0.503951111579391,0.2692307692307693,0.25
71,48,42->39->29->7->31,164,7130,Rainy,Medium,High,Festival,7->29->31->39->42,2,25,Male,Germany,Solo,Low,Cultural,Bus,5,1,2,0,0.09166666666666667,0.6983458012854283,0.13461538461538464,0.5
72,106,32->48->1->27->23->11->20,255,7414,Cloudy,Low,Low,Festival,1->11->20->23->27->32->48,2,52,Female,India,Group,Low,Adventure,Car,7,0,0,0,0.28125,0.7282688863133495,0.6538461538461539,1.0
73,116,17->12->7->14->48->4,234,5415,Snowy,Low,High,Festival,4->7->12->14->17->48,2,54,Male,France,Solo,Medium,Relaxation,Car,6,0,2,1,0.2375,0.5176482983879465,0.6923076923076924,0.75
74,88,4->3->41->38->1,210,2479,Snowy,High,Medium,Holiday,1->3->4->38->41,2,33,Other,Germany,Group,Medium,Nature,Bike,5,2,1,1,0.1875,0.20830260246549362,0.28846153846153855,0.5
75,50,9->34->18->10->7->22->23,438,4836,Sunny,Medium,High,Holiday,7->9->10->18->22->23->34,3,66,Male,USA,Solo,High,Food,Train,7,1,2,2,0.6625,0.4566431356021494,0.9230769230769232,1.0
76,128,30->25->9->23->32,440,3830,Sunny,Low,Low,Holiday,9->23->25->30->32,5,66,Male,UK,Family,Medium,Nature,Train,5,0,0,1,0.6666666666666666,0.35064798229902006,0.9230769230769232,0.5
77,195,18->22->10,506,6400,Rainy,Low,Medium,None,10->18->22,3,19,Other,France,Family,Medium,Cultural,Train,3,0,1,1,0.8041666666666667,0.6214308292066167,0.019230769230769273,0.0
78,99,7->18->34,328,8652,Snowy,High,Medium,Festival,7->18->34,3,35,Other,Japan,Group,High,Food,Taxi,3,2,1,2,0.43333333333333335,0.8587082499209777,0.326923076923077,0.0
79,195,26->4->15->24,326,9940,Rainy,Medium,High,None,4->15->24->26,2,19,Other,France,Family,Medium,Cultural,Train,4,1,2,1,0.4291666666666667,0.9944157623011273,0.019230769230769273,0.25
80,116,38->50->32->17,501,7192,Rainy,Low,High,Festival,17->32->38->50,3,54,Male,France,Solo,Medium,Relaxation,Car,4,0,2,1,0.79375,0.7048783057633548,0.6923076923076924,0.25
81,196,32->26->9->7->48->2->40,192,8731,Cloudy,Low,Medium,None,2->7->9->26->32->40->48,2,32,Other,USA,Group,Low,Nature,Car,7,0,1,0,0.15000000000000002,0.8670319249815615,0.2692307692307693,1.0
82,185,10->43->13,347,5638,Snowy,High,Low,Festival,10->13->43,5,19,Female,UK,Friends,High,Relaxation,Taxi,3,2,0,2,0.47291666666666665,0.5411442419133916,0.019230769230769273,0.0
83,194,2->42->25->23->44->8->4,383,9592,Snowy,Medium,Medium,Holiday,2->4->8->23->25->42->44,4,50,Male,Japan,Family,Medium,Shopping,Walk,7,1,1,1,0.5479166666666666,0.9577494468443789,0.6153846153846154,1.0
84,160,50->41->47->49->31,595,4222,Snowy,Medium,High,Festival,31->41->47->49->50,2,43,Female,Germany,Friends,Low,Food,Taxi,5,1,2,0,0.9895833333333333,0.39195026867558735,0.48076923076923084,0.5
85,161,41->19->29->3->40,372,4163,Cloudy,High,Medium,Festival,3->19->29->40->41,3,25,Male,China,Solo,Medium,Shopping,Car,5,2,1,1,0.525,0.3857338531240122,0.13461538461538464,0.5
86,21,25->26->46->27,320,2255,Rainy,High,Medium,None,25->26->27->46,3,32,Male,Japan,Friends,Low,Nature,Bus,4,2,1,0,0.41666666666666663,0.18470129596459803,0.2692307692307693,0.25
87,110,20->3->48->33,139,9597,Sunny,Low,Medium,None,3->20->33->48,3,45,Other,Germany,Friends,Low,Food,Car,4,0,1,0,0.039583333333333304,0.958276261721631,0.5192307692307693,0.25
88,136,12->10->25->31,244,5358,Cloudy,High,Medium,Festival,10->12->25->31,3,62,Male,Germany,Family,High,Relaxation,Bike,4,2,1,2,0.2583333333333333,0.5116426087872722,0.8461538461538461,0.25
89,65,10->31->17->12->29,445,6437,Sunny,Medium,Medium,Festival,10->12->17->29->31,2,40,Male,USA,Solo,Low,Relaxation,Taxi,5,1,1,0,0.6770833333333334,0.6253292592982825,0.42307692307692313,0.5
90,6,37->35->26,423,6050,Cloudy,High,Medium,Holiday,26->35->37,2,36,Female,UK,Group,Low,Adventure,Bus,3,2,1,0,0.63125,0.5845537877989675,0.34615384615384615,0.0
91,166,21->15->6->30->43,399,8167,Sunny,High,Low,None,6->15->21->30->43,2,44,Male,Germany,Solo,Medium,Relaxation,Train,5,2,0,1,0.5812499999999999,0.8076072068275209,0.5000000000000001,0.5
92,32,23->41->44->10->8->12->40,419,4527,Snowy,Low,Medium,Festival,8->10->12->23->40->41->44,5,59,Male,Germany,Solo,Medium,Relaxation,Bus,7,0,1,1,0.6229166666666667,0.4240859761879675,0.7884615384615384,1.0
93,11,42->11->45->48,428,1951,Snowy,Low,Medium,None,11->42->45->48,2,19,Female,UK,Friends,Medium,Food,Taxi,4,0,1,1,0.6416666666666666,0.15267095142766832,0.019230769230769273,0.25
94,19,16->28->46->35->25->19,178,1429,Snowy,High,High,Holiday,16->19->25->28->35->46,5,32,Male,UK,Family,High,Nature,Train,6,2,2,2,0.12083333333333335,0.09767147824254557,0.2692307692307693,0.75
95,107,36->34->10->19->26->5->47,134,7616,Cloudy,Medium,High,Festival,5->10->19->26->34->36->47,4,39,Female,UK,Family,High,Food,Car,7,1,2,2,0.029166666666666674,0.7495522073543357,0.40384615384615385,1.0
96,93,38->27->49->50->33->37->40,174,5383,Cloudy,Low,Medium,Holiday,27->33->37->38->40->49->50,3,43,Female,Japan,Solo,High,Food,Bike,7,0,1,2,0.11249999999999999,0.5142766831735328,0.48076923076923084,1.0
97,70,47->43->26->24->17->21,259,4224,Sunny,Low,Low,Holiday,17->21->24->26->43->47,2,54,Other,USA,Friends,Medium,Shopping,Bike,6,0,0,1,0.2895833333333333,0.39216099462648824,0.6923076923076924,0.75
98,51,29->7->46->22->24->5->42,213,3718,Rainy,High,Medium,Festival,5->7->22->24->29->42->46,5,38,Female,China,Solo,Medium,Adventure,Taxi,7,2,1,1,0.19374999999999998,0.3388473290485723,0.3846153846153847,1.0
99,80,28->2->41->8->25->13,506,4419,Sunny,Medium,High,None,2->8->13->25->28->41,1,67,Male,UK,Family,Medium,Food,Walk,6,1,2,1,0.8041666666666667,0.4127067748393215,0.9423076923076924,0.75
100,163,29->2->13->22->4->5->37,480,1238,Sunny,Low,Medium,Festival,2->4->5->13->22->29->37,5,59,Female,India,Friends,Low,Food,Car,7,0,1,0,0.75,0.07754714993151407,0.7884615384615384,1.0
101,129,42->48->2->40->8->34->30,514,6771,Snowy,High,Low,None,2->8->30->34->40->42->48,1,56,Other,Germany,Family,High,Food,Car,7,2,0,2,0.8208333333333333,0.6605204930987251,0.730769230769231,1.0
102,30,35->43->29->41,262,7482,Cloudy,Medium,Low,Festival,29->35->41->43,5,25,Male,India,Solo,Low,Shopping,Train,4,1,0,0,0.2958333333333333,0.7354335686439785,0.13461538461538464,0.25
103,6,10->22->41,585,8198,Snowy,High,Low,Festival,10->22->41,4,36,Female,UK,Group,Low,Adventure,Bus,3,2,0,0,0.96875,0.810873459066484,0.34615384615384615,0.0
104,26,47->13->42->26,520,1663,Sunny,Low,Medium,None,13->26->42->47,1,57,Other,China,Family,High,Nature,Bus,4,0,1,2,0.8333333333333333,0.1223264144979454,0.7500000000000001,0.25
105,139,46->48->45->32->42->10->36,204,7266,Sunny,Low,Low,Holiday,10->32->36->42->45->46->48,5,67,Female,India,Solo,High,Relaxation,Train,7,0,0,2,0.175,0.7126751659466863,0.9423076923076924,1.0
106,121,48->28->6->15->22->19->35,516,3535,Snowy,Low,High,None,6->15->19->22->28->35->48,3,28,Other,Germany,Family,Medium,Adventure,Car,7,0,2,1,0.825,0.3195659045411442,0.1923076923076924,1.0
107,8,46->30->14->47->40->15,361,2886,Sunny,Medium,Medium,None,14->15->30->40->46->47,3,24,Female,USA,Family,Low,Adventure,Walk,6,1,1,0,0.5020833333333333,0.25118533347381733,0.11538461538461542,0.75
108,30,30->15->18->2->46->26,387,1475,Rainy,Low,High,None,2->15->18->26->30->46,5,25,Male,India,Solo,Low,Shopping,Train,6,0,2,0,0.55625,0.10251817511326519,0.13461538461538464,0.75
109,26,50->45->41->21->39->18,199,9987,Rainy,High,Low,Holiday,18->21->39->41->45->50,2,57,Other,China,Family,High,Nature,Bus,6,2,0,2,0.1645833333333333,0.9993678221472974,0.7500000000000001,0.75
110,167,44->13->29->32->7,377,5215,Rainy,Low,Medium,Holiday,7->13->29->32->44,3,18,Other,China,Friends,Low,Nature,Car,5,0,1,0,0.5354166666666667,0.49657570329786116,0.0,0.5
111,164,18->10->4->36->17->49->32,298,2965,Snowy,High,High,Holiday,4->10->17->18->32->36->49,1,66,Female,China,Family,Medium,Relaxation,Car,7,2,2,1,0.37083333333333335,0.25950900853440095,0.9230769230769232,1.0
112,147,48->28->50->21->6->4,243,6775,Snowy,High,Low,None,4->6->21->28->48->50,5,19,Other,Japan,Friends,High,Nature,Walk,6,2,0,2,0.25625,0.6609419450005268,0.019230769230769273,0.75
113,58,48->32->6->28,339,1908,Sunny,High,Low,Festival,6->28->32->48,3,60,Male,France,Solo,High,Relaxation,Bus,4,2,0,2,0.45625000000000004,0.14814034348329996,0.8076923076923078,0.25
114,98,48->46->39,428,1128,Sunny,Low,Low,Festival,39->46->48,5,26,Other,China,Friends,Low,Nature,Car,3,0,0,0,0.6416666666666666,0.06595722263196713,0.15384615384615385,0.0
115,120,18->36->25->32,589,551,Snowy,High,Medium,None,18->25->32->36,2,55,Other,Germany,Friends,High,Relaxation,Bus,4,2,1,2,0.9770833333333333,0.005162785797070905,0.7115384615384616,0.25
116,154,12->36->9,480,1413,Sunny,Low,High,Festival,9->12->36,1,42,Other,France,Solo,Medium,Adventure,Bus,3,0,2,1,0.75,0.09598567063533875,0.46153846153846156,0.0
117,101,26->38->49,559,875,Rainy,High,Low,Holiday,26->38->49,3,44,Male,France,Group,High,Shopping,Walk,3,2,0,2,0.9145833333333333,0.03930038984300917,0.5000000000000001,0.0
118,104,34->7->38->23->32->39,482,5576,Rainy,High,High,Holiday,7->23->32->34->38->39,2,51,Male,India,Group,Medium,Shopping,Bus,6,2,2,1,0.7541666666666667,0.5346117374354652,0.6346153846153847,0.75
119,56,47->28->10->31->14->19,264,6998,Snowy,Low,High,None,10->14->19->28->31->47,2,34,Male,USA,Solo,Medium,Adventure,Taxi,6,0,2,1,0.30000000000000004,0.684437888525972,0.3076923076923077,0.75
120,85,14->20->27->24->2->34->40,198,9191,Snowy,Medium,High,None,2->14->20->24->27->34->40,3,47,Male,India,Friends,Medium,Food,Car,7,1,2,1,0.16249999999999998,0.9154988936887578,0.5576923076923077,1.0
121,85,23->4->22->37->39,488,8123,Snowy,Low,Medium,Festival,4->22->23->37->39,5,47,Male,India,Friends,Medium,Food,Car,5,0,1,1,0.7666666666666666,0.802971235907702,0.5576923076923077,0.5
122,185,41->37->18->4,382,2312,Rainy,High,Medium,Festival,4->18->37->41,4,19,Female,UK,Friends,High,Relaxation,Taxi,4,2,1,2,0.5458333333333333,0.19070698556527235,0.019230769230769273,0.25
123,188,8->39->42,256,8227,Snowy,Medium,Medium,Holiday,8->39->42,1,20,Other,India,Group,Medium,Nature,Train,3,1,1,1,0.2833333333333333,0.8139289853545464,0.03846153846153849,0.0
124,73,45->8->35->29,150,2100,Snowy,Low,High,Festival,8->29->35->45,1,41,Female,UK,Friends,High,Nature,Taxi,4,0,2,2,0.0625,0.16837003476978188,0.4423076923076924,0.25
125,126,13->21->24->22->32->45->49,350,9851,Rainy,High,Medium,Holiday,13->21->22->24->32->45->49,5,32,Male,Germany,Friends,Medium,Nature,Taxi,7,2,1,1,0.47916666666666663,0.9850384574860395,0.2692307692307693,1.0
126,3,38->8->47,493,5417,Rainy,High,High,Holiday,8->38->47,3,19,Other,USA,Friends,High,Adventure,Taxi,3,2,2,2,0.7770833333333333,0.5178590243388473,0.019230769230769273,0.0
127,20,40->47->2,152,7465,Snowy,Medium,Low,Holiday,2->40->47,1,57,Male,China,Solo,High,Food,Walk,3,1,0,2,0.06666666666666665,0.7336423980613213,0.7500000000000001,0.0
128,71,15->42->8->36->34->50,181,1626,Snowy,Low,Medium,None,8->15->34->36->42->50,2,41,Female,France,Family,High,Relaxation,Bus,6,0,1,2,0.12708333333333333,0.11842798440627963,0.4423076923076924,0.75
